HOR.VER,start,end,referenceStart,referenceEnd,xOffset,yOffset,zOffset,pitch,roll,azimuth,referenceLatitude,referenceLongitude,referenceElevation
1.501,00:00.0,,00:00.0,,4.2,3.36,-0.02,2.2,0,10,35.964211,-84.28268,343.46
1.502,00:00.0,,00:00.0,,4.6,4.08,-0.11,0.8,0,350,35.964211,-84.28268,343.46
1.503,00:00.0,,00:00.0,,4.91,3.45,-0.13,1.2,0,40,35.964211,-84.28268,343.46
2.501,00:00.0,,00:00.0,,4.55,4.13,-0.02,2.5,0,190,35.964099,-84.28316,347.16
2.502,00:00.0,,00:00.0,,4.04,4.87,-0.09,0.8,0,160,35.964099,-84.28316,347.16
2.503,00:00.0,,00:00.0,,4.85,4.86,-0.13,3,0,190,35.964099,-84.28316,347.16
3.501,00:00.0,,00:00.0,,4.05,4.11,-0.03,16.6,0,260,35.963988,-84.283639,346.12
3.502,00:00.0,,00:00.0,,5.02,4.09,-0.1,9,0,230,35.963988,-84.283639,346.12
3.503,00:00.0,,00:00.0,,4.81,4.86,-0.14,4,0,270,35.963988,-84.283639,346.12
4.501,00:00.0,,00:00.0,,4.47,4.12,-0.03,15.3,0,200,35.963876,-84.284119,334.9
4.502,00:00.0,,00:00.0,,4.14,4.84,-0.11,16.2,0,210,35.963876,-84.284119,334.9
4.503,00:00.0,,00:00.0,,4.86,4.83,-0.14,12.9,0,200,35.963876,-84.284119,334.9
5.501,00:00.0,,00:00.0,,4.46,4.12,-0.02,9.8,0,180,35.963764,-84.284598,330.31
5.502,00:00.0,00:00.0,00:00.0,,3.88,4.9,-0.1,11.4,0,155,35.963764,-84.284598,330.31
5.502,00:00.0,,00:00.0,,3.85,3.25,-0.1,8.3,0,320,35.963764,-84.284598,330.31
5.503,00:00.0,00:00.0,00:00.0,,4.93,4.9,-0.13,11.7,0,180,35.963764,-84.284598,330.31
5.503,00:00.0,,00:00.0,,4.7,3.1,-0.14,10.7,0,340,35.963764,-84.284598,330.31
