,timeBgn,timeEnd,IRGA_lvl01_Co2_mu,IRGA_lvl01_Co2_mx,IRGA_lvl01_Co2_mn,IRGA_lvl01_Co2_vr,IRGA_lvl01_Co2_n,IRGA_lvl02_Co2_mu,IRGA_lvl02_Co2_mx,IRGA_lvl02_Co2_mn,IRGA_lvl02_Co2_vr,IRGA_lvl02_Co2_n,IRGA_lvl03_Co2_mu,IRGA_lvl03_Co2_mx,IRGA_lvl03_Co2_mn,IRGA_lvl03_Co2_vr,IRGA_lvl03_Co2_n,IRGA_lvl04_Co2_mu,IRGA_lvl04_Co2_mx,IRGA_lvl04_Co2_mn,IRGA_lvl04_Co2_vr,IRGA_lvl04_Co2_n,IRGA_lvl05_Co2_mu,IRGA_lvl05_Co2_mx,IRGA_lvl05_Co2_mn,IRGA_lvl05_Co2_vr,IRGA_lvl05_Co2_n,IRGA_lvl06_Co2_mu,IRGA_lvl06_Co2_mx,IRGA_lvl06_Co2_mn,IRGA_lvl06_Co2_vr,IRGA_lvl06_Co2_n,isoCO2_lvl01_dryCo2_mu,isoCO2_lvl01_dryCo2_mx,isoCO2_lvl01_dryCo2_mn,isoCO2_lvl01_dryCo2_vr,isoCO2_lvl01_dryCo2_n,isoCO2_lvl02_dryCo2_mu,isoCO2_lvl02_dryCo2_mx,isoCO2_lvl02_dryCo2_mn,isoCO2_lvl02_dryCo2_vr,isoCO2_lvl02_dryCo2_n,isoCO2_lvl03_dryCo2_mu,isoCO2_lvl03_dryCo2_mx,isoCO2_lvl03_dryCo2_mn,isoCO2_lvl03_dryCo2_vr,isoCO2_lvl03_dryCo2_n,isoCO2_lvl04_dryCo2_mu,isoCO2_lvl04_dryCo2_mx,isoCO2_lvl04_dryCo2_mn,isoCO2_lvl04_dryCo2_vr,isoCO2_lvl04_dryCo2_n,isoCO2_lvl05_dryCo2_mu,isoCO2_lvl05_dryCo2_mx,isoCO2_lvl05_dryCo2_mn,isoCO2_lvl05_dryCo2_vr,isoCO2_lvl05_dryCo2_n,isoCO2_lvl06_dryCo2_mu,isoCO2_lvl06_dryCo2_mx,isoCO2_lvl06_dryCo2_mn,isoCO2_lvl06_dryCo2_vr,isoCO2_lvl06_dryCo2_n,isoCO2_lvl01_iCo2_mu,isoCO2_lvl01_iCo2_mx,isoCO2_lvl01_iCo2_mn,isoCO2_lvl01_iCo2_vr,isoCO2_lvl01_iCo2_n,isoCO2_lvl02_iCo2_mu,isoCO2_lvl02_iCo2_mx,isoCO2_lvl02_iCo2_mn,isoCO2_lvl02_iCo2_vr,isoCO2_lvl02_iCo2_n,isoCO2_lvl03_iCo2_mu,isoCO2_lvl03_iCo2_mx,isoCO2_lvl03_iCo2_mn,isoCO2_lvl03_iCo2_vr,isoCO2_lvl03_iCo2_n,isoCO2_lvl04_iCo2_mu,isoCO2_lvl04_iCo2_mx,isoCO2_lvl04_iCo2_mn,isoCO2_lvl04_iCo2_vr,isoCO2_lvl04_iCo2_n,isoCO2_lvl05_iCo2_mu,isoCO2_lvl05_iCo2_mx,isoCO2_lvl05_iCo2_mn,isoCO2_lvl05_iCo2_vr,isoCO2_lvl05_iCo2_n,isoCO2_lvl06_iCo2_mu,isoCO2_lvl06_iCo2_mx,isoCO2_lvl06_iCo2_mn,isoCO2_lvl06_iCo2_vr,isoCO2_lvl06_iCo2_n,Lvl01_tempAir_mu,Lvl01_tempAir_vr,Lvl02_tempAir_mu,Lvl02_tempAir_vr,Lvl03_tempAir_mu,Lvl03_tempAir_vr,Lvl04_tempAir_mu,Lvl04_tempAir_vr,Lvl05_tempAir_mu,Lvl05_tempAir_vr,EC_co2FlxStor,EC_co2FlxTurb,EC_co2FlxNSAE
0,b'2019-10-27T00:00:00.000Z',b'2019-10-27T00:29:59.000Z',447.3140382111066,460.401730543835,439.378109440873,25.070985356397202,117,438.9408618750461,443.079573235306,434.851562053193,2.5404812700515613,175,438.51697679472375,442.73582828905796,434.90771542144597,2.010674225774472,124,438.3799417039968,444.47147325763797,433.700049476044,2.8249976807995365,235,437.8574013919085,442.52537185348405,433.41207861942803,3.0400273958009874,234,,,,,0,433.91686187828947,446.899994,423.385986,30.204481315541653,304,418.3335872163935,419.876007,416.815002,0.502919121973172,305,416.852420796875,417.954987,416.00399799999997,0.11932327082457858,64,,,,,0,,,,,0,417.5278601682692,418.209015,416.709991,0.08062503220454595,208,-9.96064918937705,-7.87900019,-11.7629995,0.5101129085785376,305,-9.297967224819672,-7.63700008,-11.1829996,0.3703235174575939,305,-9.18892189796875,-7.38800001,-10.6780005,0.5419594700817484,64,,,,,0,,,,,0,-9.283802855721154,-7.48000002,-10.9180002,0.41542213587244015,208,19.2028,0.0256,20.9322,0.0636,21.5107,0.0239,21.8691,0.0409,21.8917,0.0405,,0.5732278158319346,
1,b'2019-10-27T00:30:00.000Z',b'2019-10-27T00:59:59.000Z',455.28295414175346,476.83310469040896,444.250265218075,33.999903218608765,235,440.7824937349647,444.74952053680096,436.014991764356,3.0900348623172924,235,440.48629108327026,454.170087357668,420.70219598593303,7.360108582293448,228,441.4764152640598,445.20078023109096,437.314792243127,3.1823394284023703,123,442.28942012878935,446.468175196233,438.02431934125303,2.575948714420007,117,,,,,0,,,,,0,,,,,0,420.91219343478264,422.667999,419.325012,0.21678155401260643,207,419.5860125882353,420.408997,418.734985,0.16373314069434186,306,418.51760894788276,419.416992,417.557007,0.11144348025336992,307,417.86217388775515,418.510986,417.12298599999997,0.07000086738680114,98,,,,,0,,,,,0,-9.368811543333333,-7.28299999,-11.0819998,0.5091764898617531,207,-9.37116336872549,-7.66900015,-10.8719997,0.38528406735838217,306,-9.352387606677524,-7.11399984,-11.0369997,0.4715785070991145,307,-9.133591822755102,-7.55499983,-10.4399996,0.4221789327515205,98,19.5485,0.0352,21.0032,0.0238,21.2708,0.027,21.4015,0.0233,21.4081,0.0202,1.9811770195239082,-0.11556400777687376,1.8656130117470344
2,b'2019-10-27T01:00:00.000Z',b'2019-10-27T01:29:59.000Z',458.5519952580116,464.70388637357104,450.869869433398,7.254738131449652,117,443.2407451404765,448.001023785892,438.53488176266103,2.933889569281266,176,441.4286058431645,445.61515020285805,438.322800999048,2.4053154661041085,123,440.99742647332147,445.393080746098,435.739097603683,2.9490488941065505,286,440.6106621844699,444.32993734454396,435.160471166788,2.3612684225523757,235,,,,,0,432.3930136503268,444.092987,423.95401,17.929614738731054,306,421.6230330032787,423.218994,419.473999,0.9168485349859711,305,420.9514378265306,422.144989,419.937988,0.2082809879929698,98,,,,,0,,,,,0,418.0793393592233,419.14099100000004,416.613007,0.3468488849873352,206,-9.832088225457516,-7.73199987,-11.4659996,0.46559392760368445,306,-9.394944224819673,-7.57299995,-11.4169998,0.42856508908693247,305,-9.290969373367346,-7.75699997,-11.0419998,0.4335853344223055,98,,,,,0,,,,,0,-9.22574757868932,-7.4369998,-10.9510002,0.4690990946560642,206,19.4547,0.0072,20.89,0.0255,21.1591,0.0232,21.5016,0.0525,21.5587,0.058,-0.22178447169225257,0.14053930660423594,-0.08124516508801663
3,b'2019-10-27T01:30:00.000Z',b'2019-10-27T01:59:59.000Z',462.9042885742594,476.482372017976,451.859399910428,27.7114195789177,235,442.6590157205481,446.815769879436,437.30610751737,2.6155694432559184,232,441.6869732271773,462.22121727025,421.348936407074,8.285955432136092,227,441.62040397207136,447.301730800735,437.19054868414,3.60512450677507,122,440.34978768063183,445.335766794062,435.44494082145104,3.538995861045517,117,,,,,0,,,,,0,,,,,0,418.9139663798077,420.01001,417.731995,0.26074222759743454,208,419.3515031895425,420.708008,417.68399,0.41821531403893514,306,419.5299321503268,420.509003,418.39898700000003,0.2319550522233995,306,417.92306025252526,419.048004,416.56601,0.3448317078436802,99,,,,,0,,,,,0,-9.28104327548077,-7.70599985,-10.9490004,0.5076928462955554,208,-9.348777800947712,-7.72300005,-11.1730003,0.45443194843397033,306,-9.198728746960784,-7.1170001,-11.1630001,0.466944529103575,306,-9.285000032424243,-7.6500001,-10.8769999,0.4113246402631331,99,19.7771,0.0777,21.4838,0.1162,21.8217,0.066,22.1453,0.0384,22.1784,0.0337,0.2001623100888617,2.586584872677136,2.786747182765998
4,b'2019-10-27T02:00:00.000Z',b'2019-10-27T02:29:59.000Z',462.3065650050729,470.589328906692,454.801421016714,14.655628979216116,117,443.0586399566975,452.598446932504,437.864194191678,6.304489494386642,174,442.5718759194545,448.198846374926,438.57639653526405,2.617315418273997,122,441.82964731941547,446.69764377175204,437.42232959630496,2.82421673910628,286,441.5885362917596,446.557300859472,437.386911536203,3.0809127693709195,235,,,,,0,435.38117055737706,443.423004,428.921997,9.439289290855482,305,419.9527116885246,423.667999,418.765991,1.0174006419133634,305,418.2540619897959,420.257996,416.615997,0.8281707072263779,98,,,,,0,,,,,0,418.7951742705314,419.553986,417.69399999999996,0.10865902393470368,207,-10.03057704504918,-8.19799995,-12.3400002,0.5031417552076296,305,-9.260163930688524,-7.50899982,-12.0139999,0.48565131293268043,305,-9.33483677122449,-7.546,-10.6389999,0.393468568745885,98,,,,,0,,,,,0,-9.219144948599034,-6.88500023,-11.342,0.46135031527934683,207,20.0275,0.0353,21.5605,0.1153,21.5845,0.2358,21.8683,0.223,21.9236,0.2182,0.8263063793729958,-1.1207419761567323,-0.29443559678373654
5,b'2019-10-27T02:30:00.000Z',b'2019-10-27T02:59:59.000Z',461.5341417095493,474.11942171348903,448.349865348319,21.273962445652923,234,443.0890294534289,448.217690120386,437.750334611427,2.956539695981654,232,442.8682680842699,452.51994905885,429.769395814541,6.472309958462308,227,444.23026159669877,450.736413622824,436.86812112293,9.022229628139826,122,444.47069592136745,450.102263153168,440.771643571499,3.366441043787954,117,,,,,0,,,,,0,,,,,0,420.58163452403846,422.725006,418.588013,1.0617631231072373,208,418.5659157843137,419.113007,417.847992,0.07018329790474667,306,418.40904159415584,419.07901,417.53201299999995,0.08007501946547352,308,418.11864713131314,419.062988,416.821014,0.2248916513776464,99,,,,,0,,,,,0,-9.22649039235577,-7.02699995,-10.9350004,0.5076865162926805,208,-9.089213118065574,-7.25500011,-11.7340002,0.49860187380333704,305,-9.081220784155844,-7.16900015,-10.7770004,0.4253429782716107,308,-9.04897974959596,-7.35699987,-10.974,0.5072839809598965,99,19.7017,0.0325,20.7387,0.1851,20.6601,0.2069,20.9211,0.2334,20.9601,0.2425,2.9111725091627565,3.7780013453915715,6.689173854554328
6,b'2019-10-27T03:00:00.000Z',b'2019-10-27T03:29:59.000Z',462.57601232602894,474.95550629380097,450.66767352064096,19.062154901178932,117,448.7145554723776,457.365709258152,440.256753512987,13.11709715882637,175,447.25361297926395,453.254532012635,439.912320328486,5.128043679940518,121,445.2227039556503,452.527870777308,437.534231285676,9.175641193504045,285,445.1300905087732,454.005510459486,439.030663925189,11.773287200656467,234,,,,,0,437.8971993464052,452.158997,423.64599599999997,45.55277450684318,306,426.64683244117646,432.084991,423.72900400000003,4.0560373146215385,306,422.7253424747475,424.230011,421.78601100000003,0.14743606879696733,99,,,,,0,,,,,0,417.62669057971016,418.449005,417.091003,0.05372270846499209,207,-10.106970513639345,-7.96400023,-12.1450005,0.47697092922560036,305,-9.598786888688524,-7.38700008,-11.3620005,0.47422010990359253,305,-9.497596003030303,-7.76100016,-11.4639997,0.4816780937710853,99,,,,,0,,,,,0,-9.136314022801932,-7.13199997,-10.96,0.5057028525222284,207,19.4333,0.0236,19.8353,0.0355,19.8253,0.0274,19.9672,0.0246,19.9417,0.0202,-2.6089736743182947,-0.35336734854308843,-2.9623410228613833
7,b'2019-10-27T03:30:00.000Z',b'2019-10-27T03:59:59.000Z',460.8702179587706,475.226859331638,448.501276298857,24.700267880905315,234,446.80599477800445,456.111906323268,441.204607312848,10.167459660600478,232,443.37684108949384,455.922594923895,428.37144576815905,6.0283329758213675,228,442.457515548086,447.250474096505,438.894844527824,2.6292345887187114,122,441.4378560360725,445.56981539307804,437.978217459595,2.442475372299308,118,,,,,0,,,,,0,,,,,0,417.57192834134617,420.833008,416.01901200000003,0.9963296358616262,208,417.96709723051947,420.312012,416.381012,0.6918226404014286,308,417.71628711726385,418.51300000000003,416.84799200000003,0.08231392782901195,307,417.79958586868685,418.579987,417.07299800000004,0.07258535736699313,99,,,,,0,,,,,0,-9.071500002330097,-7.35400009,-10.7799997,0.5000406410972486,206,-9.147485348827361,-6.74599981,-11.2849998,0.5476282965156672,307,-9.041794091503268,-7.44399977,-10.9580002,0.4479936856354771,306,-9.180686888080809,-7.34100008,-10.783,0.41348278876610206,99,19.8043,0.0101,20.0619,0.0043,20.0248,0.0021,20.1604,0.0082,20.1208,0.008,1.128679992752873,0.2641439811621296,1.3928239739150026
8,b'2019-10-27T04:00:00.000Z',b'2019-10-27T04:29:59.000Z',466.3289248045829,473.92364575710303,456.71203134488803,14.86477170975967,118,449.6743374802143,455.653961090224,444.201233792794,7.342292353504509,58,,,,,0,442.41684442764614,446.009575587426,438.05284291979,2.464346660262309,166,442.60650223121235,446.491997769564,439.312234310578,2.5733505880782475,117,,,,,0,440.18947594098364,448.42099,430.046997,13.263610253423211,305,420.84491237500004,424.882996,417.68600499999997,3.356192358953974,304,417.42698954081635,419.260986,416.55200199999996,0.25868184522946697,98,,,,,0,,,,,0,418.55195791826924,419.022003,417.766998,0.05032226133811401,208,-10.00110820947541,-7.46600008,-12.0220003,0.4835257661289763,305,-9.235009922649006,-7.0619998,-11.5430002,0.5154852032613548,302,-9.251295888571429,-7.53599977,-10.5270004,0.4982842305466396,98,,,,,0,,,,,0,-9.125552893509616,-7.54099989,-11.1960001,0.4559743880666504,208,19.8442,0.0017,20.1533,0.0015,20.0826,0.0012,20.2782,0.0017,20.2363,0.0015,-0.06551824803937331,0.4303505101134762,0.3648322620741029
9,b'2019-10-27T04:30:00.000Z',b'2019-10-27T04:59:59.000Z',464.24489681472136,475.04808579587,449.444379418499,27.19373893723575,233,446.86667460195764,454.987783597686,441.303041379673,7.976967870602012,232,445.07963011759296,450.26143152328103,440.459801355755,3.0069102660050113,173,444.7646782820282,450.451423814843,439.754237375154,3.5884767902204704,122,444.4352656743772,448.516614268372,440.50714591711596,2.9596291984856733,118,,,,,0,,,,,0,,,,,0,420.6169186778846,422.406006,419.48599199999995,0.309761581765272,208,419.49150304575164,420.190002,418.743988,0.08695584452943386,306,418.9292034248366,419.59600800000004,418.12600699999996,0.06286522049149794,306,418.7335805816326,419.177002,418.08099400000003,0.046251362293317756,98,,,,,0,,,,,0,-9.285894223365384,-7.1420002,-11.3979998,0.556416688118094,208,-9.090169926895426,-7.1960001,-11.5959997,0.5551652623008746,306,-9.087588224183007,-6.79099989,-11.1499996,0.5440667177486112,306,-9.158744861428572,-7.74100018,-10.9549999,0.4597851441671047,98,19.8514,0.0027,20.2542,0.0022,20.206,0.0031,20.3253,0.0011,20.2832,0.001,2.276037414184773,-0.48526263577866674,1.790774778406106
